commit	val_bpb	memory_gb	status	description
1d34cdd	1.119688	6.4	keep	FINAL_LR_FRAC=0.05 (residual LR at end, new best!)
8cd1ff0	1.119779	6.4	discard	FINAL_LR_FRAC=0.1 (marginally worse than 0.05)
a27bd00	1.118837	6.4	keep	UNEMBEDDING_LR=0.006 (new best!)
b0db936	1.119122	6.4	discard	UNEMBEDDING_LR=0.008 (worse, 0.006 is better)
cf3731c	1.122106	6.4	discard	SCALAR_LR=0.2 (worse, 0.5 is better)
d3968e4	1.121868	6.4	discard	HEAD_DIM=96 (4 heads, worse than 3 heads 128-dim)
a11589d	1.119299	6.4	discard	ADAM_BETAS=(0.8, 0.99) (worse, beta2=0.95 better)
8fdf26c	1.120043	6.4	discard	cosine LR warmdown (worse than linear)
d502883	1.125342	6.3	discard	remove x0 skip connection (worse, VE skip helps)
27eb898	1.122335	6.6	discard	VE all layers (slower, alternating VE better)
31f3bd4	1.130237	6.0	discard	GQA n_kv_head=1 (worse, separate KV better for quality)
52d014c	1.125767	8.3	discard	ASPECT_RATIO=128 (512-dim, 1171 steps, still too slow)
a1c58e4	1.120630	7.2	discard	per-layer MLP [8,8,8,16] (1559 steps, overhead not worth it)
6120991	1.118786	6.4	keep	gradient clipping norm=1.0 (marginal improvement, keeps)
59efd0c	1.119239	6.4	discard	grad clip norm=2.0 (worse than 1.0)
54f9686	1.122427	6.4	discard	softcap=30 (worse, 15 is better)
8143161	1.118789	6.4	discard	EMBEDDING_LR=1.0 (essentially tied, 1.2 still current best)
f7c4cb1	1.120742	6.4	discard	ns_steps=4 (1 more step but worse quality)
b5538eb	1.120292	6.4	discard	Muon momentum 0.9->0.95 (worse, 0.85->0.95 is better)
dc52300	1.175203	3.4	discard	DEVICE_BATCH_SIZE=16 (grad_accum=2, much worse)
956164d	1.127754	6.4	discard	HEAD_DIM=192 (2 heads, 384-dim, worse than 3-head)
cefd9b1	1.119625	6.4	discard	RoPE base=50000 (marginally worse)
f84c305	1.120023	6.4	discard	softcap=20 (worse, 15 still best)
4e3b79c	1.119301	6.4	discard	EMBEDDING_LR=1.4 (marginally worse than 1.2)
a0613c8	1.118686	6.4	keep	UNEMBEDDING_LR=0.007 (new best, marginal improvement)
50c45c3	1.119454	6.4	discard	UNEMBEDDING_LR=0.0075 (worse, 0.007 is better)
dcfcecb	1.121105	6.4	discard	Muon momentum warmup 300->100 steps (worse)
7746da9	1.118876	6.4	discard	FINAL_LR_FRAC=0.03 (slightly worse than 0.05)
286960c	1.118611	6.4	keep	MATRIX_LR=0.055 (new best, marginal improvement)
e2ec452	1.119219	6.4	discard	MATRIX_LR=0.06 (worse, 0.055 is better)
86a643e	1.119502	6.4	discard	WARMDOWN_RATIO=0.65 (worse, 0.6 is better)
a3618d7	1.119291	6.4	discard	ADAM_BETAS=(0.82, 0.95) (worse, 0.80 is better)
d7c54e1	1.118485	6.4	keep	SCALAR_LR=0.8 (new best, higher scalar LR helps)
d4ca43b	1.117810	6.4	keep	SCALAR_LR=1.2 (new best! scalar LR higher is better)
dc3d1e1	1.119324	6.4	discard	SCALAR_LR=2.0 (worse, 1.2 is best)
5a3f1ea	1.119120	6.4	discard	SCALAR_LR=1.5 (worse, 1.2 is better)
f8bc02e	1.118188	6.4	discard	resid_lambda LR=scalar_lr*0.1 (worse, 0.01 scale better)
d3efdfc	1.126259	6.4	discard	lm_head init std=0.01 (much worse, 0.001 better)
7b063b8	1.117984	6.4	discard	FINAL_LR_FRAC=0.07 (slightly worse than 0.05)
58fa2cb	1.117952	6.4	discard	Muon ns_steps=6 (slightly worse than 5)
b28b986	1.130416	6.4	discard	MLP-first blocks (much worse, attn-first is better)
36714f8	1.117781	6.4	keep	EMBEDDING_LR=1.0 (new best, lower emb LR works better)
2f6164a	1.117688	6.4	keep	EMBEDDING_LR=0.8 (new best, lower is still better)
7ecedde	1.119310	6.4	discard	EMBEDDING_LR=0.6 (worse, 0.8 is better)
42f33da	1.117537	6.4	keep	EMBEDDING_LR=0.9 (new best!)
84c387d	1.117538	6.4	discard	EMBEDDING_LR=0.85 (tied with 0.9, 0.9 kept)
acecc5b	1.117771	6.4	discard	MATRIX_LR=0.052 (slightly worse, 0.055 better)
c2e444a	1.117843	6.4	discard	value_embeds LR=0.5x embedding (worse)
13cdcf4	1.116782	6.4	keep	WEIGHT_DECAY=0.01 (new best! tiny WD helps at this config)
1431b1d	1.116107	6.4	keep	WEIGHT_DECAY=0.02 (new best! WD keeps improving)
0a5d0b1	1.116004	6.4	keep	WEIGHT_DECAY=0.05 (new best! WD still improving)
1534ec0	1.118572	6.4	discard	WEIGHT_DECAY=0.1 (worse, 0.05 is better)
d0ce04c	1.116557	6.4	discard	WEIGHT_DECAY=0.07 (worse, 0.05 is better)
457b5ab	1.116480	6.4	discard	WEIGHT_DECAY=0.06 (worse, 0.05 is best)
777aa82	1.116276	6.4	discard	WARMDOWN_RATIO=0.55 (slightly worse, 0.6 still best)
502ee4f	1.119292	6.4	discard	constant WD=0.05 (worse, linear decay better)
13fe8aa	1.116148	6.4	discard	MATRIX_LR=0.05 (re-test at final config, 0.055 still better)
278a9fa	1.116223	6.4	discard	UNEMBEDDING_LR=0.008 (re-test at final config, 0.007 still better)
8034eaa	1.115719	6.4	keep	FINAL_LR_FRAC=0.04 (new best! lower residual LR better)
31e8f85	1.115890	6.4	discard	FINAL_LR_FRAC=0.03 (worse, 0.04 is better)
0b5f686	1.115857	6.4	discard	WARMDOWN_RATIO=0.62 (slightly worse, 0.6 still best)
f69d392	1.115958	6.4	discard	VE gate channels 32->64 (slightly worse, 32 is better)
78f7aee	1.115955	6.4	discard	SCALAR_LR=1.4 (worse, 1.2 confirmed best)
9a335df	1.116023	6.4	discard	cosine WD decay (worse, linear decay still best)
295fc03	1.115713	6.4	keep	WD decay to 10% residual (new best! small WD at end helps)
1682fa7	1.115572	6.4	keep	WD decay to 20% residual (new best! higher WD floor better)
6b7d7fd	1.116147	6.4	discard	WD decay to 30% residual (worse, 20% is sweet spot)
2af9531	1.116068	6.4	discard	WEIGHT_DECAY=0.06 with 20% WD floor (worse, 0.05 still best)
5bba57f	1.117073	6.4	discard	MLP c_proj bias (crash then worse, bias not helpful)
380f843	1.116721	6.4	discard	grad clip norm=0.5 (worse, 1.0 still best)
eeacec5	1.116186	6.4	discard	Muon momentum warmup 300->500 steps (worse, 300 steps better)
daeafa3	1.116736	6.4	discard	softcap=12 (worse, 15 still best)
5908999	1.167797	6.5	discard	TOTAL_BATCH_SIZE=2^17 (889 steps, way too few optimizer steps)
59518c5	1.116044	6.4	discard	EMBEDDING_LR=0.95 (worse, 0.9 is best)
638215d	1.117829	6.4	discard	ADAM_BETAS beta2=0.999 (worse, 0.95 is better for fast training)
bea5294	1.123125	6.4	discard	x1 skip from layer 0 (much worse, single x0 skip is better)
511f6fc	1.119682	6.4	discard	norm(x) * relu2(x) MLP activation (much worse than plain relu2)
672fb8f	1.115597	6.4	discard	WEIGHT_DECAY=0.04 with 20% floor (essentially tied, 0.05 stays best)
15dd7d6	1.115793	6.4	discard	renorm x0 skip norm(x0) at each layer (slightly worse)
abfe371	1.116296	6.4	discard	MATRIX_LR=0.057 (worse, 0.055 confirmed best)
950e537	1.116854	6.4	discard	WD applied to x0_lambdas (worse, WD=0 for scalars is better)
2c067f1	1.161205	6.4	discard	sandwich norm pre+post (much worse, pre-norm only is better)
a2754f1	1.115814	6.4	discard	resid_lambda LR=scalar_lr*0.02 (2x more, slightly worse)
5649e6f	1.115901	6.4	discard	x0_lambdas betas=(0.8,0.95) same as rest (worse, 0.96 was better)
bb726f2	1.115653	6.4	discard	WD quadratic decay (1-progress)^2 (slightly worse than linear)
06f8743	1.119559	6.4	discard	unconditional WD in Muon (much worse, cautious mask is essential)
4c49140	1.115752	6.4	discard	Muon NorMuon beta2=0.9 (slightly worse than 0.95)
28b0b3b	1.116478	6.4	discard	VE gate 0-1 range (remove 2x, worse, 0-2 range is better)
2b80235	1.116601	6.4	discard	softcap=10 (more aggressive, worse than 15)
02ffc70	1.115602	6.4	discard	x0_lambdas init=0.0 (essentially tied, 0.1 still kept)
dfc4d9c	1.122825	6.4	discard	VE on even layers 0,2 (much worse, odd layers 1,3 is better)
9c49157	1.135425	6.6	discard	V-norm in attention (much worse, only QK norm is better)
9fda87f	1.118080	7.2	discard	10x MLP expansion (1559 steps, fewer steps offset gains)
8464fec	1.115392	6.4	keep	QK norm before RoPE instead of after (new best!)
201d837	1.115538	6.4	discard	MATRIX_LR=0.05 at norm-before-rope (0.055 still better)
76b2b88	1.116682	6.4	discard	UNEMBEDDING_LR=0.006 at norm-before-rope (0.007 still better)
95db8ff	1.116239	6.4	discard	UNEMBEDDING_LR=0.008 at norm-before-rope (0.007 still better)
2607632	1.115796	6.4	discard	SCALAR_LR=1.5 at norm-before-rope (1.2 still better)
6628bae	1.118883	6.5	discard	x0 skip after block (much worse, pre-block skip is better)
11cde44	1.115442	6.4	discard	WARMDOWN_RATIO=0.65 at norm-before-rope (0.6 still better)
0c2ef68	1.115275	6.4	keep	EMBEDDING_LR=1.0 at norm-before-rope (new best!)
af976f3	1.115627	6.4	discard	EMBEDDING_LR=1.1 (worse, 1.0 is better)
15a94f6	1.115211	6.4	keep	FINAL_LR_FRAC=0.03 at new config (new best! was worse before)
551370e	1.115561	6.4	discard	FINAL_LR_FRAC=0.02 (worse, 0.03 is better)
b5ba38e	1.115416	6.4	discard	WD floor 15% (worse, 20% is still better)
863cc21	1.115374	6.4	discard	WEIGHT_DECAY=0.04 at new config (0.05 still better)
1619004	1.115646	6.4	discard	WEIGHT_DECAY=0.06 at new config (0.05 still better)
1bf82e3	1.115822	6.4	discard	MATRIX_LR=0.06 at new config (0.055 still better)
b8c0960	1.119717	6.4	discard	Muon final momentum 0.98 (much worse, 0.95 is better)
5435be0	1.115715	6.4	discard	ADAM_BETAS beta1=0.82 (worse, 0.80 still best)
fe1b9aa	1.115293	6.4	discard	ADAM_BETAS beta1=0.78 (worse, 0.80 confirmed best)
51f4dfe	1.115424	6.4	discard	SCALAR_LR=1.1 (worse, 1.2 is still best)
871e225	1.115565	6.4	discard	UNEMBEDDING_LR=0.0075 (worse, 0.007 still best)
6646f3e	1.120219	6.4	discard	WARMUP_RATIO=0.02 (much worse, no warmup is better)
093126f	1.123263	6.4	discard	resid_lambdas init=0.95 (much worse, 1.0 init is better)
2e37219	1.114923	6.4	keep	WINDOW_PATTERN=SL (alternating short+full attn, new best! 1764 steps)
d6180aa	1.114118	6.4	keep	WINDOW_PATTERN=SSSL (3 short + 1 full, new best! 1777 steps)
c29d084	1.112199	6.4	keep	SSSL short_window=512 (quarter context, massive improvement! 1823 steps)
bd73aa8	1.114246	6.4	discard	SSSL short_window=256 (worse, 512 is better sweet spot)
0b24dde	1.111471	6.4	keep	SSSL short_window=384 (new best! 1837 steps)
b765863	1.111694	6.4	discard	SSSL short_window=320 (worse, 384 is better)
f9666ac	1.111914	6.4	discard	SSSL short_window=448 (worse, 384 is sweet spot)
384a0fa	1.111370	6.4	keep	MATRIX_LR=0.06 at SSSL config (new best!)
bdcf5b2	1.111676	6.4	discard	MATRIX_LR=0.065 (worse, 0.06 is best at SSSL)
45ead18	1.111761	6.4	discard	WEIGHT_DECAY=0.07 at SSSL (worse, 0.05 still best)
f4029f8	1.111365	6.4	keep	EMBEDDING_LR=0.8 at SSSL (new best, marginal improvement)
10ea413	1.113045	6.4	discard	EMBEDDING_LR=0.6 at SSSL (much worse, 0.8 is better)
ccfa334	1.111739	6.4	discard	EMBEDDING_LR=0.9 at SSSL (worse, 0.8 confirmed optimum)
c26797a	1.112689	6.4	discard	UNEMBEDDING_LR=0.008 at SSSL (worse, 0.007 still best)
8e3a6de	1.111644	6.4	discard	FINAL_LR_FRAC=0.02 at SSSL (worse, 0.03 still best)
65ef1f0	1.111153	6.4	keep	WARMDOWN_RATIO=0.65 at SSSL (new best!)
d7a63b7	1.111428	6.4	discard	WARMDOWN_RATIO=0.7 at SSSL (worse, 0.65 is sweet spot)
1478812	1.112200	6.4	discard	SCALAR_LR=1.5 at SSSL (worse, 1.2 still best)
2a4e14e	1.123951	3.4	discard	TOTAL_BATCH_SIZE=2^15 bs=16 at SSSL (much worse, batch too small)
1199729	1.114858	12.7	discard	TOTAL_BATCH_SIZE=2^17 bs=64 at SSSL (worse, too few steps)
34fb59b	1.118912	8.0	discard	12x MLP at SSSL (worse, 8x is better with SSSL)
deb8fab	1.111779	8.0	discard	DEPTH=5 ASPECT_RATIO=72 at SSSL (slightly worse, 4-layer stays)
5317144	1.113170	6.4	discard	expanding window [256,512,1024,2048] (worse, uniform 384 better)
c50f104	1.111840	6.4	discard	Muon final momentum 0.96 (worse, 0.95 confirmed best)
c485693	1.111413	6.4	discard	softcap=12 at SSSL (worse than 15)
9e9778a	1.113379	6.4	discard	softcap=20 at SSSL (worse, 15 confirmed best)
9c0d1ab	1.111234	6.4	discard	WD floor 25% at SSSL (worse, 20% still best)
bda412d	1.112789	6.4	discard	Muon ns_steps=4 at SSSL (worse, 5 is better)
e7bffd4	1.111978	6.4	discard	grad clip norm=2.0 at SSSL (worse, 1.0 confirmed best)
f2c0779	1.111461	6.4	discard	WEIGHT_DECAY=0.04 at SSSL (worse, 0.05 is better)
728970c	1.111682	6.4	discard	WEIGHT_DECAY=0.06 at SSSL (worse, 0.05 confirmed best)
4974b5a	1.112181	6.4	discard	SCALAR_LR=1.3 at SSSL (worse, 1.2 confirmed best)
9e9b308	1.111388	6.4	discard	FINAL_LR_FRAC=0.025 at SSSL (worse, 0.03 still best)
6a490bf	2.933085	6.4	discard	weight tying wte=lm_head (much worse, different LRs conflict)
e2125c2	1.116176	9.1	discard	DEPTH=6 ASPECT_RATIO=64 (1300 steps, worse than DEPTH=4)
c855816	1.112946	6.4	discard	WINDOW_PATTERN=SSLL (2 short + 2 full, worse than SSSL)
f5b2b55	1.112596	6.4	discard	progressive windows [256,384,512,2048] (worse than uniform 384)
da9b03e	1.111374	6.4	discard	WARMDOWN_RATIO=0.70 (slightly worse, 0.65 is better)
f83f1c0	1.111379	6.4	discard	MATRIX_LR=0.058 (slightly worse, 0.06 confirmed best)
cd36d84	1.111246	6.4	discard	HEAD_DIM=96 (4 heads) at SSSL (marginally worse, 3 heads better)
4c6bad8	1.112324	5.7	discard	MLP 6x at SSSL (2070 steps, worse quality vs 8x)
0519c93	1.113491	7.2	discard	last layer MLP 16x (1640 steps, too slow, worse quality)
b499c48	1.111430	6.4	discard	short_window=400 (slightly worse, 384 confirmed best)
202ca4c	1.110701	6.4	keep	EMBEDDING_LR=0.85 at SSSL (new best! between 0.8 and 0.9)
a484a14	1.111055	6.4	discard	EMBEDDING_LR=0.87 (worse, 0.85 is better)
0bcda64	1.111014	6.4	discard	EMBEDDING_LR=0.83 (slightly worse, 0.85 confirmed best)
03823dc	1.112170	6.4	discard	UNEMBEDDING_LR=0.008 at new config (worse, 0.007 still best)
6380959	1.111330	6.4	discard	MATRIX_LR=0.062 at new config (worse, 0.06 confirmed best)
c7109ab	1.111314	6.4	discard	SCALAR_LR=1.25 (worse, 1.2 confirmed best)
ca0cea5	1.111025	6.4	discard	WARMDOWN_RATIO=0.63 (worse, 0.65 still best)
26dfdb3	1.110897	6.4	discard	WEIGHT_DECAY=0.045 (worse, 0.05 still best)
fc6cff2	1.110878	6.4	discard	FINAL_LR_FRAC=0.028 (worse, 0.03 still best)
2aa7da8	1.110926	6.4	discard	short_window=368 (worse, 384 confirmed best)
95cdd8b	1.124263	5.7	discard	bilinear MLP (W1*W2, no activation — much worse than ReLU2)
c311267	1.128390	5.7	discard	ReLU2-GLU MLP (relu2(W1)*W2 gated, worse than plain 8x ReLU2)
22e1989	1.110709	6.4	discard	Muon init momentum 0.80->0.95 (tied with 0.85 start)
6136e03	1.112377	6.4	discard	RoPE base=50000 at SSSL (worse, base=10000 confirmed best)
93e6a73	1.115711	6.8	discard	post-attn+post-mlp norm (double norm worse, pre-norm only better)
d955165	1.111642	6.4	discard	ADAM_BETAS beta2=0.90 (worse, 0.95 confirmed best)
fd60242	1.112953	7.2	discard	last layer MLP 16x at SSSL (1640 steps, fewer steps offset any gains)
94fced6	1.110810	7.8	discard	DEPTH=5 AR=76 SSSSL (1526 steps, same 384-dim, slower offset gains)
f4353a3	1.120701	5.1	discard	DEPTH=3 AR=128 SSL (2275 steps, too shallow, much worse)
f799ab0	1.129664	6.4	discard	LSSS pattern (global first — much worse, SSSL order matters)
ae89300	1.114241	6.4	discard	layer-wise LR (early 0.8x, late 1.2x matrix_lr — worse)
